CODE,ID,NAME,Unit,Description
acct,100,introduction to accounting for non-business majors,3,"the course covers the principle of financial and managerial accounting for non-management students, including the framework that underlies financial and management accounting and how accounting information should be used by: (1) parties external to the firm, i.e., stockholders, creditors and government, to evaluate the financial performance of an organization; and (2) internal management to fulfill the planning, control and performance evaluation functions. enrollment is limited to students who are neither management nor accounting majors nor enrolled in the weatherhead school of management.  this course may be substituted for"
acct,101,introduction to financial accounting,3,"financial reports are the most significant means for an organization to communicate its management results to stockholders, creditors, and regulators.  this course covers concepts, principles, and practices, including preparation and interpretation, of financial reports.  the financial reporting system and basic internal controls for the balance sheet, income statement, and cash flow statements are discussed."
acct,102,management accounting,3,"this course focuses on management accounting as a supporting system, helping managers to run businesses and other organizations. the course builds on knowledge of microeconomics, organizational design and behavior, production, and logistics as a foundation to explore how management accounting provides information for management planning, control and decision activities. a student may not receive credit for both"
acct,207,excel and accounting analytics technology,3,"through this course, the student will gain an understanding of leveraging current technologies in the accounting process of extraction, analysis and visualization."
acct,300,corporate reporting i,3,
acct,301,corporate reporting ii,3,"this course is the second of a 3 course sequence and covers financial accounting theory, generally accepted accounting principles and reporting practices.  areas of focus include: property plant and equipment, liability determination, long-term debt, derivatives, leases, pensions and other postretirement benefits, and investments.  international (ifrs) aspects also are considered.
prereq:"
acct,302,selected topics in financial accounting,3,
acct,305,"income tax: concepts, skills, planning",3,"this course addresses u.s. federal income taxation concepts and applications.  the subject matter includes topics applicable to individuals, partnerships and corporations and various other entities required to file income tax returns.  in addition the subject matter addressed includes a variety of business, legal and taxation concepts and practices related to effective tax planning.  the purpose of the course is to provide the student with the appropriate knowledge and skill levels to ""speak the language of u.s. tax.""
prereq: sophomore standing."
acct,306,accounting information systems - basic,3,"this course introduces the students to the major business cycles as they relate to accounting information systems, including the revenue, procurement and conversion cycles.  additionally, students will be introduced to erp systems and obtain hands-on experience using sap's enterprise resource planning system.
prereq:"
acct,307,applied analytics for accounting,3,this is the second course in the department of accountancy's analytics sequence.  the course is designed to advance students' ability to obtain information from data sets using the extract-manipulate-display framework introduced in
acct,314,attestation and assurance services,3,"this course covers the role of the auditor, the audit process, the public accounting profession, audit risk and materiality, fraud, audit methods and techniques, audit planning, internal control, the effects of information technology on the audit, auditing revenue, receivables and inventories, professional ethics, legal responsibilities, emerging assurance services, and recent developments in the auditing profession.
prereq:"
acct,360,independent study,1 - 18,
acct,400,introduction to accounting for non-business majors,3,"the course covers the principle of financial and managerial accounting for non-management students, including the framework that underlies financial and management accounting and how accounting information should be used by: (1) parties external to the firm, i.e., stockholders, creditors and government, to evaluate the financial performance of an organization; and (2) internal management to fulfill the planning, control and performance evaluation functions. enrollment is limited to students who are neither management nor accounting majors nor enrolled in the weatherhead school of management.  this course may be substituted for"
acct,401,financial and managerial accountancy,3,"this course examines the underlying framework of financial and managerial accountancy, focusing on how financial information is used by: (1) parties external to the organization to evaluate financial performance, i.e., stockholders, creditors, and government agencies; and (2) internal management to plan, control, and evaluate the financial results of the organization.
prereq: standard mba, cohort mba - pt."
acct,401h,accounting for healthcare,3,"this course exposes msm-healthcare students to ways that accounting information helps managers monitor and improve the performance of organizations. after studying the nature and limitations of accounting information, we explore how financial, cost, tax, and regulatory accounting are used by various stakeholders.  from this effort, students become comfortable evaluating accounting recognition, valuation, classification, and disclosure issues that arise in an executive's career.  finally, we study how accounting is a feedback loop that enables managers to assess consequences of past decisions and think about what should be done going forward.   feedback loops, in turn, can give rise to observer effects and/or unpredictable outcomes.  course content contributes to achieving the program goal of strengthening a student's ability to promote positive change in healthcare.
prereq: msm healthcare students only."
acct,402,managerial accounting for mba,1,"this course focuses on the use of data from accounting information systems to strategically manage costs and make value-added decisions across the functional areas of a business. it reviews the commons sources and types of accounting information typically available to managers along with the inherent limitations of such data. emphasis is placed on analytical methods to solve common business problems related to sourcing, marketing, performance management, and operational control.
prereq:"
acct,404,advanced financial reporting,3,
acct,405,advanced federal taxes,3,"corporate income taxes, estate and gift tax, fiduciary income taxes, partnerships, and hybrid forms of organization are covered.
prereq:"
acct,406,advanced accounting information systems,3,"this is a three hour class in which the students will combine classroom and project work to learn how technology is used in the reporting and evaluation of internal and external accounting information. students will learn to recognize and manage technology-based risks to accounting information and will study current events and relevant trends in accounting technology.
prereq:"
